The aproximation to X vector with 25 iterations is
x0 =  0.07686995686205479
x1 =  0.07313271768356673
x2 =  0.07949074308711812
x3 =  0.07159408409993975
x4 =  0.08475712278206782
x5 =  0.08143424260936699
x6 =  0.07584430629522547
x7 =  0.061438392005429096
x8 =  0.07667200072574903
x9 =  0.0028544693294257698


The best aproximation you can get of vector 'b' is
b0 =  0.9999999191852873
b1 =  0.9999998862202695
b2 =  0.9999998844730665
b3 =  0.9999999020617026
b4 =  0.9999999346709127
b5 =  0.9999999481529965
b6 =  0.9999999418829528
b7 =  0.9999999508343547
b8 =  0.9999999481227219
b9 =  0.9999998520424914
+-----------+---------------------+---------------------+----------------------+---------------------+---------------------+---------------------+---------------------+----------------------+---------------------+------------------------+---------------+
| Iteration |          x0         |          x1         |          x2          |          x3         |          x4         |          x5         |          x6         |          x7          |          x8         |           x9           |     Error     |
|     13    | 0.07689239889599027 | 0.07315580932339723 | 0.07949335774414246  | 0.07158136028835498 | 0.08475151156172744 | 0.08141586294042276 |  0.0758353027054139 | 0.06142354405029505  | 0.07666492644043055 | 0.0028125203845230165  |    1.83E-04   |
|     14    | 0.07686780597890702 | 0.07313252583771916 | 0.07949929960548799  | 0.07160499378925675 | 0.08476323908459425 | 0.08144306499570521 | 0.07585067478125486 | 0.06144475859876826  | 0.07667704274386504 | 0.0028717532113133395  |    8.34E-05   |
|     15    | 0.07686577056535893 | 0.07312684523346748 | 0.07948292561032519  | 0.07158837519291343 |  0.0847535548200231 |  0.0814317648090806 | 0.07584131619360891 | 0.061437085150186255 | 0.07666977970527943 |  0.002851319904099009  |    3.77E-05   |
|     16    | 0.07687402707013714 | 0.07313763580222875 | 0.07949499457491543  | 0.07159596765919454 | 0.08475845863204198 | 0.08143397626752914 | 0.07584513364013247 | 0.06143776077026862  | 0.07667247142786325 |  0.00285247409130069   |    2.10E-05   |
|     17    | 0.07686770339548901 |  0.0731302248868318 | 0.07948931549552059  | 0.07159404009242923 | 0.08475698123438563 | 0.08143512312999357 | 0.07584441735694859 | 0.061439284085835585 | 0.07667222552232236 |  0.002856978485594415  |    1.26E-05   |
|     18    | 0.07687075691566721 | 0.07313349356879545 | 0.07949081713309886  | 0.07159364152741746 |  0.0847568907683787 | 0.08143359058215767 | 0.07584400088054438 | 0.061437814368860325 | 0.07667168830780782 | 0.0028529225447810197  |    6.62E-06   |
|     19    | 0.07686990809883586 | 0.07313275818286458 | 0.07949108749995668  | 0.07159447580083685 |  0.084757365807695  | 0.08143455444219982 | 0.07584454006696605 | 0.061438641380073045 | 0.07667220961293421 |  0.002855091468665562  |    3.02E-06   |
|     20    | 0.07686979665352374 | 0.07313249537983454 | 0.07949045895397908  | 0.07159389380040505 | 0.08475699249242111 | 0.08143416399627995 |  0.0758442003847163 | 0.06143834101319753  |  0.0766719166612217 |  0.002854373041516374  |    1.38E-06   |
|     21    | 0.07687011729991607 | 0.07313291091093961 | 0.07949091109340868  | 0.07159415251916046 | 0.08475717695394483 | 0.08143423036030939 | 0.07584434055282441 | 0.061438371874847644 | 0.07667202168644333 | 0.0028543893614502575  |    7.86E-07   |
|     22    | 0.07686987977498351 | 0.07313263539773963 | 0.07949070224313488  | 0.07159409400325059 | 0.08475712307460945 | 0.08143427994360242 | 0.07584431383448678 | 0.061438425812502036 | 0.07667201265691026 | 0.0028545689097077484  |    4.70E-07   |
|     23    | 0.07686999187197388 | 0.07313275345612223 | 0.07949075536519776  | 0.07159407297508316 | 0.08475711856533882 | 0.08143422074143875 | 0.07584429901375385 | 0.06143837287325409  | 0.07667199192943801 | 0.0028544145894451103  |    2.46E-07   |
|     24    |  0.0768699620865105 |  0.0731327290083694 | 0.07949076697313061  | 0.07159410636899756 | 0.08475713678867498 |  0.0814342568271549 | 0.07584431830536902 | 0.06143840245860159  | 0.07667201171492227 | 0.0028544952219897446  |    1.12E-07   |
|     25    | 0.07686995686205479 | 0.07313271768356673 | 0.07949074308711812  | 0.07159408409993975 | 0.08475712278206782 | 0.08143424260936699 | 0.07584430629522547 | 0.061438392005429096 | 0.07667200072574903 | 0.0028544693294257698  |    5.16E-08   |
+-----------+---------------------+---------------------+----------------------+---------------------+---------------------+---------------------+---------------------+----------------------+---------------------+------------------------+---------------+
