+------+-----+-----+-----+-------+------+------+-----+-------+------+------+-----+-------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+
|  A1  |  B1 |  C1 |  D1 |   A2  |  B2  |  C2  |  D2 |   A3  |  B3  |  C3  |  D3 |   A4  |   B4  |  C4  |  D4 |   A5   |   B5  |  C5  |  D5 |   A6   |   B6  |  C6  |  D6 |   A7   |   B7  |  C7  |  D7 |   A8   |   B8  |  C8  |  D8 |   A9   |   B9  |  C9  |  D9 |   V    |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 | 216.0  |  36.0 | 6.0  |  1  | -216.0 | -36.0 | -6.0 |  -1 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 343.0  |  49.0 | 7.0  |  1  | -343.0 | -49.0 | -7.0 |  -1 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 512.0  |  64.0 | 8.0  |  1  | -512.0 | -64.0 | -8.0 |  -1 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 729.0  |  81.0 | 9.0  |  1  | -729.0 | -81.0 | -9.0 |  -1 |  0.0   |
| 12.0 | 4.0 |  1  | 0.0 | -12.0 | -4.0 |  -1  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  27.0 | 6.0  |  1   | 0.0 | -27.0 | -6.0 |  -1  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  48.0 | 8.0  |  1   | 0.0 | -48.0 |  -8.0 |  -1  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  75.0 |  10.0 |  1   | 0.0 | -75.0  | -10.0 |  -1  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 | 108.0  |  12.0 |  1   | 0.0 | -108.0 | -12.0 |  -1  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 147.0  |  14.0 |  1   | 0.0 | -147.0 | -14.0 |  -1  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 192.0  |  16.0 |  1   | 0.0 | -192.0 | -16.0 |  -1  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 243.0  |  18.0 |  1   | 0.0 | -243.0 | -18.0 |  -1  | 0.0 |  0.0   |
| 12.0 |  2  | 0.0 | 0.0 | -12.0 |  -2  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  18.0 |  2   | 0.0  | 0.0 | -18.0 |  -2  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  24.0 |  2   | 0.0  | 0.0 | -24.0 |   -2  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  30.0 |   2   | 0.0  | 0.0 | -30.0  |   -2  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  36.0  |   2   | 0.0  | 0.0 | -36.0  |   -2  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  42.0  |   2   | 0.0  | 0.0 | -42.0  |   -2  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  48.0  |   2   | 0.0  | 0.0 | -48.0  |   -2  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  54.0  |   2   | 0.0  | 0.0 | -54.0  |   -2  | 0.0  | 0.0 |  0.0   |
| 6.0  |  2  | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  60.0  |   2   | 0.0  | 0.0 |  0.0   |
+------+-----+-----+-----+-------+------+------+-----+-------+------+------+-----+-------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+
